ID,"First Name","Last Name",Email,Company,Project,Salary,Bonus,"Insurance Amount","Total Cost","Employment Start","Employment End"
22,Roy,Treutel,nschaefer@gmail.com,Feeney-Hoppe,"Search Engine Bandits",101.32,10851.7685,4340.7074,15293,1984-03-20,1987-03-20
23,Julia,Mills,wisoky.emily@gmail.com,"Hirthe Group","Search Engine Bandits",46039.64,1905488.352,762195.3408,2713722,2008-02-07,2024-02-07
24,Rae,Dickens,lchamplin@gmail.com,Batz-Adams,"Indie Profilers",2249.63,254.952,101.9808,2605,1985-07-01,2028-07-01
25,Briana,Nitzsche,muhammad.wiza@yahoo.com,"Marquardt LLC","Search Engine Bandits",16945.93,32289.6085,12915.8434,62150,1979-10-01,2006-10-01
26,Shad,Kreiger,mattie.schuppe@gmail.com,"Hyatt Group","Debug Entity",3.99,192.685,77.074,273,2019-03-13,2044-03-13
27,Antone,Bergnaum,grimes.fatima@yahoo.com,"Rutherford, Pagac and Dickens","Wide Stringer",879.11,24.068,9.6272,912,1999-08-15,2036-08-15
28,Richard,Batz,roxane22@kozey.com,"Beier, Hintz and Mante","White Feather",1651611.43,0.123,0.0492,1651611,2018-08-27,2052-08-27
29,Samson,Walsh,rashad.leffler@lemke.com,Hyatt-Ziemann,"Java Dalia",880.25,0.0085,0.0034,880,2018-02-03,2035-02-03
30,Caterina,Donnelly,considine.violet@lueilwitz.com,"McKenzie, Altenwerth and Dibbert","Static Startup",3.38,148949.1705,59579.6682,208531,1975-06-02,2025-06-02
31,Darrin,Hand,elisha.auer@schaden.info,"Hermann Ltd","Code Poltergeists",5.1,37.9665,15.1866,58,1987-12-13,2017-12-13
32,Aylin,Walker,xokeefe@hotmail.com,"Bosco LLC","White Feather",336.44,3.22,1.288,340,1980-01-10,2023-01-10
33,Ursula,Armstrong,celia.luettgen@littel.com,"Maggio Inc","Celestial Interface",21686.33,3.975,1.59,21691,1987-03-21,2001-03-21
34,Hassie,Turcotte,considine.bulah@rodriguez.com,Adams-Pfeffer,"Code Poltergeists",31.48,310224.3435,124089.7374,434344,2002-10-29,2039-10-29
35,Deshaun,Carter,jakayla13@schaden.biz,Parker-Stracke,"Debug Entity",6628375.84,1057.927,423.1708,6629856,2012-02-12,2019-02-12
36,Autumn,Schmitt,luettgen.dashawn@wolff.biz,"Green LLC","Search Engine Bandits",390913591.28,4.695,1.878,390913596,1971-10-03,1999-10-03
37,Giovanni,Schoen,bwunsch@durgan.com,"Schimmel Group","Wide Stringer",7397.6,0.702,0.2808,7398,1994-04-06,2031-04-06
38,Johnson,Cremin,kcronin@oberbrunner.org,"Pouros, Jones and Howell","Static Startup",3003.87,3603.3195,1441.3278,8048,2014-04-29,2042-04-29
39,Leslie,Harris,xmohr@yahoo.com,"Jaskolski Inc","Celestial Interface",57.39,172659.9945,69063.9978,241780,2008-09-07,2011-09-07
40,Sasha,Torp,parisian.monserrat@hotmail.com,"Koepp Inc","Software Chasers",12393.31,42069.7945,16827.9178,71290,2007-12-14,2026-12-14
41,Elvie,Kling,rodrigo.rogahn@abshire.com,"Zieme, Keeling and Daniel","Software Chasers",20668.38,2847773.9175,1139109.567,4007551,1996-11-03,2021-11-03
42,Liam,Terry,hermann.harvey@torphy.com,Kreiger-Mertz,"Search Engine Bandits",467.21,6640461.876,2656184.7504,9297113,1992-05-12,2028-05-12
43,Leanne,Champlin,mann.adolfo@littel.com,"Steuber LLC","Wide Stringer",47.64,78.016,31.2064,156,1973-07-23,2002-07-23
44,Tyler,Dietrich,xpollich@gmail.com,Muller-Hills,"Static Startup",64023008.83,17204478.3105,6881791.3242,88109278,2010-03-08,2059-03-08
45,Katrina,Herman,myrtie.will@zulauf.com,"McDermott Group","Robust Routine",52502458.57,8.301,3.3204,52502469,1976-10-09,2025-10-09
46,Gardner,West,xward@schumm.biz,Krajcik-Hettinger,"Gob Geeklords",8.46,2.912,1.1648,12,1997-04-04,2043-04-04
47,Alexa,Stehr,ramon.kuhlman@yahoo.com,Orn-Kassulke,"Software Chasers",6.72,371657.1515,148662.8606,520325,2002-05-27,2036-05-27
48,Adolphus,Smith,kay.mohr@hotmail.com,Grady-Larson,"Gob Geeklords",11625.38,0.036,0.0144,11625,2012-05-16,2047-05-16
49,Raheem,Gleichner,hahn.eliza@glover.com,"Marvin LLC","Wide Stringer",14153130.29,19818306.6285,7927322.6514,41898758,1985-03-04,2032-03-04
50,Leslie,Davis,melisa.lesch@yahoo.com,Yost-Yost,Wombat,276515161.25,0.2645,0.1058,276515161,2003-05-30,2015-05-30
51,Nolan,Miller,kyler.runolfsson@gmail.com,"Waters, Kuhn and Hilll","Open Source Pundits",24479.93,17.276,6.9104,24503,1986-06-06,2011-06-06
52,Braxton,Lowe,thalvorson@cartwright.biz,Kuhic-Reichert,"Indie Profilers",15145.65,2943998.972,1177599.5888,4136743,2009-01-28,2010-01-28
53,Breana,Gaylord,psimonis@yahoo.com,"Gutkowski, Berge and Schaden","Code Poltergeists",5098.91,17150.8935,6860.3574,29109,1999-12-01,2027-12-01
54,Wilma,Lang,pcremin@hotmail.com,"Donnelly, Sporer and Bauch",Wombat,17.67,70716.283,28286.5132,99019,1991-01-23,1993-01-23
55,Nannie,Ferry,mandy18@hotmail.com,"Satterfield, Mills and Kutch","Celestial Interface",2.01,21.792,8.7168,31,1988-09-11,2038-09-11
56,Reed,Weissnat,agustina.klocko@anderson.com,"Effertz, Jones and McGlynn","Software Chasers",30435.19,0.0055,0.0022,30435,1981-09-09,1997-09-09
57,Bethel,Spinka,amonahan@gmail.com,"Hessel, Howe and Treutel","Search Engine Bandits",14.61,943.3335,377.3334,1334,2015-09-17,2021-09-17
58,Madonna,McLaughlin,reina.olson@hotmail.com,"Wilderman Inc",Wombat,1.82,0.247,0.0988,2,2001-12-05,2042-12-05
59,Lonie,Tromp,konopelski.hipolito@franecki.info,"Botsford Inc","Celestial Interface",32400.93,7.5825,3.033,32411,2017-11-21,2050-11-21
60,Adelbert,Reichert,amills@gmail.com,"Ebert, Kiehn and Ebert","Search Engine Bandits",0,1006.093,402.4372,1408,1973-11-21,1992-11-21
61,Katlyn,Hudson,owen.gerlach@gmail.com,Christiansen-Williamson,"Java Dalia",1.17,990.8965,396.3586,1388,2007-07-20,2026-07-20
62,Lincoln,Hagenes,jennings.cummerata@gleason.org,Huel-Schaefer,"White Feather",2356292.98,223.1765,89.2706,2356605,1989-07-18,2000-07-18
63,Kaden,Stanton,ashton.berge@yahoo.com,Jerde-Pacocha,Wombat,2664.74,0.091,0.0364,2664,1984-07-31,2022-07-31
64,Margret,Murphy,hdenesik@hotmail.com,"Bernier, Wiegand and Hoeger","Software Chasers",1.96,7636.557,3054.6228,10692,1987-11-14,1996-11-14
65,Iliana,Goodwin,susan.oreilly@sporer.com,Gutmann-Grant,"Robust Routine",538873.18,5295794.8975,2118317.959,7952985,2005-06-12,2036-06-12
66,Greta,Renner,kabshire@hotmail.com,"Cremin, Johnston and Pacocha","Hex Clan",0.35,1289.275,515.71,1804,1979-03-12,2013-03-12
67,Zelma,Ferry,hschuppe@conn.com,"Zboncak, Jast and Spinka","Static Startup",326855.73,340891.6255,136356.6502,804103,1996-04-04,2046-04-04
68,Cecelia,Schinner,letha.paucek@witting.info,"Kertzmann LLC","Search Engine Bandits",2679145.89,869540.6175,347816.247,3896502,2010-10-06,2046-10-06
69,Ila,O'Conner,zboncak.rogers@gmail.com,"Hackett Inc","Robust Routine",1251.22,12780.081,5112.0324,19143,1973-10-22,2005-10-22
70,Anita,Murray,danyka.mcglynn@gmail.com,"Schuster Ltd","Hex Clan",123533889.07,3.3295,1.3318,123533893,1980-05-22,2016-05-22
71,Thaddeus,Johns,aoconnell@yahoo.com,Osinski-Dooley,"Search Engine Bandits",201.27,71817.7065,28727.0826,100745,1982-08-22,2028-08-22
72,Andrew,Collier,marisa70@weber.com,"Dickens, Weissnat and Strosin","Open Source Pundits",4.37,0.631,0.2524,5,2007-01-15,2052-01-15
73,Lilian,Goyette,muriel.langosh@gmail.com,"Schroeder, Langosh and Goldner","Java Dalia",647789.28,0,0,647789,2016-05-22,2030-05-22
74,Guiseppe,Ryan,daphnee59@gmail.com,"Heller Inc","Software Chasers",3.13,10.482,4.1928,17,2001-11-29,2017-11-29
75,Karina,Barrows,sarah.connelly@quitzon.com,"Morar, Willms and Harris","White Feather",2.41,27.5435,11.0174,40,1970-10-28,1990-10-28
76,Ashley,Walter,lueilwitz.fay@hamill.com,Dibbert-Tromp,"Static Startup",9.12,19840.7815,7936.3126,27785,1989-11-09,1998-11-09
77,Enrico,Abernathy,mclaughlin.prudence@gmail.com,"Prosacco, Larson and Huels","Hex Clan",81.96,12787728.262,5115091.3048,17902901,2016-11-22,2018-11-22
78,Irma,McCullough,stella.gleichner@yahoo.com,"Dickinson Group","Indie Profilers",215844828.79,177.2335,70.8934,215845076,1986-02-06,2024-02-06
79,Haleigh,Herzog,okuvalis@hotmail.com,"Prohaska, Cummerata and Sporer","Open Source Pundits",118312836.47,28526.02,11410.408,118352772,2013-03-15,2039-03-15
80,Ken,Kertzmann,lillie.west@turner.com,"Jacobi, Dach and Erdman","Debug Entity",230.57,2730133.086,1092053.2344,3822416,1996-06-05,2038-06-05
81,Philip,Skiles,pbode@gmail.com,"Harvey, Wyman and Koss","Debug Entity",522584.34,335006.138,134002.4552,991592,1973-01-12,1992-01-12
82,Twila,Beahan,bblick@gmail.com,Marquardt-Olson,"Debug Entity",0.4,278764.6785,111505.8714,390270,1989-01-15,2003-01-15
83,Ardith,Kertzmann,aida11@franecki.com,Senger-Weissnat,"Java Dalia",27818.83,381406.512,152562.6048,561787,1970-01-28,1993-01-28
84,Lelia,Goyette,madie73@king.com,"Hartmann and Sons","Gob Geeklords",14.64,4649525.5575,1859810.223,6509350,1979-11-22,1994-11-22
85,Ellis,Smith,okey.farrell@durgan.com,"Champlin, Howe and Schulist","Celestial Interface",4.73,32618479.3085,13047391.7234,45665875,1978-10-28,1993-10-28
86,Kailee,Ruecker,xrice@hotmail.com,Crist-Haag,"Software Chasers",1197.79,2055.7805,822.3122,4075,2012-07-31,2046-07-31
87,Julia,Bergstrom,abbott.kailyn@reynolds.com,"Bahringer and Sons","Software Chasers",71601.02,23.383,9.3532,71633,2001-12-04,2008-12-04
88,Cayla,Satterfield,funk.ernest@huels.com,"Dickens Group","White Feather",40.31,14.1795,5.6718,59,1999-04-06,2029-04-06
89,Nikita,Feil,sterling.aufderhar@hotmail.com,"Stamm, Okuneva and Volkman","White Feather",38859192.43,130.8485,52.3394,38859375,2014-12-10,2048-12-10
90,Yasmeen,Mills,wendell29@yahoo.com,Strosin-Hintz,"Search Engine Bandits",3631492.57,30.2445,12.0978,3631534,1973-09-21,1990-09-21
91,Jailyn,Ortiz,orland.lindgren@gutmann.com,Collier-Johns,"Debug Entity",1.27,33288013.1025,13315205.241,46603219,1989-10-27,2037-10-27
92,Jensen,Skiles,mossie.romaguera@mann.biz,"Mann, Hayes and Mraz","Code Poltergeists",11869831.77,2986992.52,1194797.008,16051621,1971-10-04,1973-10-04
93,Vincenza,Yundt,swift.jalon@mraz.com,"Hansen and Sons","Code Poltergeists",2071517.04,7403.601,2961.4404,2081881,1998-07-15,2006-07-15
94,Aliya,Beatty,barney.senger@yahoo.com,"Wisoky, Swaniawski and Mann","Gob Geeklords",7.5,30995529.732,12398211.8928,43393748,1979-04-24,2024-04-24
95,Kaley,Volkman,reilly.lysanne@homenick.com,"Reilly, Walker and Larson",Wombat,25633.13,0.4095,0.1638,25633,2018-10-30,2066-10-30
96,Letitia,Auer,erich58@hane.com,Jerde-Friesen,"Wide Stringer",859153212.22,2.7315,1.0926,859153215,2019-09-01,2033-09-01
97,Mittie,Batz,otorphy@stanton.biz,"Cremin PLC","Static Startup",1459.66,1638.644,655.4576,3753,1981-11-26,1984-11-26
98,Ocie,Kuphal,lilly47@hotmail.com,"Gislason, Bradtke and Brekke","White Feather",1309557.67,17514766.6475,7005906.659,25830230,1995-11-16,2028-11-16
99,Clarabelle,Gleason,schultz.cletus@hotmail.com,Hudson-Fritsch,Wombat,39023054.26,30806.8225,12322.729,39066183,1988-07-01,2028-07-01
100,Raven,Torp,farrell.freida@mraz.com,"Hettinger Ltd","Debug Entity",33879.84,86069.2385,34427.6954,154376,1988-06-23,2031-06-23
101,Jessika,Cremin,leonardo56@gmail.com,Hamill-Frami,"Celestial Interface",20.61,0.175,0.07,20,2013-07-21,2017-07-21
Total,,,,,,2653284026.63,207318938.026,2653284026.63,2943530451
